Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
West Bengal,30-09-2019,Monthly,11.86,7243557,37.63,East
West Bengal,31-10-2019,Monthly,11.81,7190052,37.55,East
West Bengal,30-11-2019,Monthly,9.29,7167495,37.52,East
West Bengal,31-12-2019,Monthly,10.23,7190648,37.76,East
West Bengal,31-01-2020,Monthly,10.55,7242151,38.33,East
West Bengal,29-02-2020,Monthly,8.24,7054923,38.32,East
West Bengal,31-03-2020,Monthly,14.4,5781196,35.55,East
West Bengal,30-04-2020,Monthly,29.92,3847615,32.71,East
West Bengal,31-05-2020,Monthly,31.39,3690990,31.93,East
West Bengal,30-06-2020,Monthly,19.52,5207392,35.62,East
West Bengal,31-07-2020,Monthly,19.03,5310302,35.58,East
West Bengal,31-08-2020,Monthly,11.87,6472881,36.91,East
West Bengal,30-09-2020,Monthly,13.0,6366389,36.74,East
West Bengal,31-10-2020,Monthly,11.97,6404405,38.03,East
